,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,standard_deviation_of_equity_5Y,annualized_return_of_equity_5Y
0,1TECH,03041,TECHNOLOGY,SOFTWARE,LEAP,0.0,0.2,0.0,0.0,0.0,15390000.0,,,,,,,,
1,3A,0012,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,0.865,0.86,-0.58,-0.005,151000.0,423120000.0,0.9316822601393091,-0.0027435054787832147,0.14921107034391873,1.4407086556852313e-37,0.06979613349309385,normal,1.0819257982594455,0.01056438528355308
2,AASIA,7054,PLANTATION,PLANTATION,MAIN,0.0,0.1,0.0,0.0,0.0,65998000.0,1.0594406345965866,0.002497660846774101,0.05219320348429041,1.6062674017395155e-13,0.14163895200780893,normal,1.679702536805694,-0.013429507537650931
3,AAX,5238,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,0.495,0.495,0.0,0.0,131000.0,205333000.0,2.03050093568679,0.04076910248944601,0.11031421777937869,1.2187475986778203e-27,0.18090847814072772,normal,3.465479328088645,-0.048809523735471316
4,ABFMY1,0800EA,EXCHANGE TRADED FUND-BOND,BOND FUND,ETF,0.0,1.178,0.0,0.0,0.0,1652642000.0,,,,,,,,
5,ABLEGLOB,7167,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,1.21,1.21,0.0,0.0,167000.0,375670000.0,1.0468132065305455,0.0022064693166823843,0.1407953311419077,2.2009683007671712e-35,0.08112907538384298,normal,0.970865193383248,-0.005524439996704267
6,ABLEGRP,7086,INDUSTRIAL PRODUCTS & SERVICES,BUILDING MATERIALS,MAIN,0.12,0.125,4.17,0.005,154000.0,32987000.0,1.2594948856905686,0.011440546201552902,0.05587982325438297,2.1462742511703622e-14,0.16241856981949046,normal,2.8342805580041643,0.04631386296147344
7,ABMB,2488,FINANCIAL SERVICES,BANKING,MAIN,3.61,3.59,-0.28,-0.01,1771000.0,5557700000.0,1.003466128672439,0.0003543492345707694,0.22598440791550956,1.602324004020156e-58,0.058262817247325405,normal,0.9061660394152635,0.07361728519720234
8,ACEINNO,03028,INDUSTRIAL PRODUCTS & SERVICES,METALS,LEAP,0.0,0.35,0.0,0.0,0.0,105012000.0,,,,,,,0.4119130806198112,-0.00039292211098018726
9,ACME,7131,PROPERTY,PROPERTY,MAIN,0.185,0.19,2.7,0.005,375000.0,69833000.0,-0.15897737834894235,-0.04569790730058206,0.0005708887888077024,0.4463502679948509,0.2086837908955135,normal,4.072145449006163,-0.003660369912400707
10,ACO,0218,INDUSTRIAL PRODUCTS & SERVICES,INDUSTRIAL SERVICES,ACE,0.23,0.23,0.0,0.0,2307000.0,79895000.0,,,,,,,1.6651473875254794,-0.07679516154658828
11,ADVCON,5281,CONSTRUCTION,CONSTRUCTION,MAIN,0.29,0.29,-1.69,-0.005,150000.0,142899000.0,1.1759838519322168,0.006498539737690261,0.10894178993715581,2.6832038482417586e-27,0.10551404901187043,normal,1.0333320311573058,-0.026705489226871215
