,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_10Y,INTERCEPT_10Y,R-SQUARED_10Y,P-VALUE_10Y,BETA STANDARD ERROR_10Y,SKEWNESS_10Y,PEARSON_KURTOSIS_10Y,FISHER_KURTOSIS_10Y,NORMALITY TEST_10Y,annualized_standard_deviation_of_equity_10Y,annualized_return_of_equity_10Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.92,8.92,0.11,0.01,1894000.0,106772520000.0,0.2170650903155552,-7.393030654552821e-05,0.018635442329280473,9.02406432429318e-12,0.03166908148260055,-11.172109627851954,303.3438603955108,300.3438603955108,not normal,2.5815275545552647,0.14691903501948267
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.65,4.64,-0.43,-0.02,4355000.0,90065610000.0,0.3391670592653847,-1.4968914981275238e-05,0.03211457592429417,2.575943937425927e-19,0.03743472932828989,-13.921620148390362,510.63053688610336,507.63053688610336,not normal,3.499114416046018,0.18729799611400622
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.76,8.77,-0.11,-0.01,1674000.0,70160000000.0,0.6085410788252033,7.412199047149346e-05,0.07922864555726651,2.5675352416081502e-46,0.04170852548063537,-4.83251846104638,104.78850697236776,101.78850697236776,not normal,4.202250343602517,0.2686466679523356
3,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.48,6.49,0.0,0.0,869000.0,57151222000.0,0.02250495422581885,-4.3874063181221e-05,0.00011581115509722901,0.5924880243134776,0.042041474568098224,-10.596337531848219,303.9157047930647,300.9157047930647,not normal,3.7005707142459547,0.1025142300679085
4,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.44,5.43,0.0,0.0,2901000.0,56875222000.0,1.1794281404140088,0.00017155403156462714,0.306313812987248,9.558847115501086e-199,0.03568369926443501,2.721754067180483,50.623444250762546,47.623444250762546,not normal,4.00983285765764,0.2752096369242747
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.72,8.85,1.49,0.13,1510000.0,50914735000.0,0.873978091792245,0.00018154674267542071,0.16050174473054762,4.111817077524558e-96,0.04018562420476769,-2.7703232116107315,425.65203091446244,422.65203091446244,not normal,3.0365628586879625,-0.06655288808235105
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.78,20.82,0.1,0.02,243000.0,45131895000.0,0.1488404208702105,-6.621766115431735e-05,0.006862245554968217,3.674984100806116e-05,0.035999184318018705,-12.193858745116787,397.1451362908146,394.1451362908146,not normal,2.848732321042361,0.22602274983266613
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.85,4.82,0.21,0.01,789000.0,39714958000.0,-0.20941537888480774,0.00094775596482283,0.00276961651489214,0.008813908586224155,0.0798907788684095,-13.88046980420207,411.2172444685653,408.2172444685653,not normal,5.265402100818375,0.4216505811289597
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.12,17.42,0.69,0.12,154000.0,34469510000.0,0.40218291492803765,-6.75621046184511e-05,0.05992262560974238,4.140616223829869e-35,0.03202654963894424,0.4749592442555165,15.991236116734795,12.991236116734795,not normal,2.8779626927431057,0.08517148329489843
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.26,7.24,-0.14,-0.01,460000.0,32317862000.0,-0.048546566268113905,3.1344824749740506e-06,0.00040355952323773363,0.3176965217951302,0.04857549334158684,-8.261230687307187,219.41643681942716,216.41643681942716,not normal,3.699697922218033,0.003565785094943097
