,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y,SKEWNESS_5Y,PEARSON_KURTOSIS_5Y,FISHER_KURTOSIS_5Y,SHARPE_RATIO_5Y,TREYNOR_RATIO_5Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.86,8.86,0.11,0.01,16257000.0,106054319000.0,0.8121711570641207,0.0003524058385441037,0.3878504068095787,8.824308671664048e-134,0.029034258578293632,not normal,0.0008239547880728448,0.19484056943335276,-6.11267827778106,127.07120267672167,124.07120267672167,0.0034300090952576624,0.000822862175624909
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.46,4.47,0.68,0.03,29008000.0,86765792000.0,1.0615416881096442,0.00045197953912043696,0.36251816520460983,6.833035740032686e-123,0.04005646276017956,not normal,0.002305937601029928,0.2411754901580302,-0.14943914186009824,66.21179522594528,63.21179522594528,0.008915863452084994,0.0020256272196599472
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.65,8.62,-0.92,-0.08,7454000.0,68960000000.0,1.2177833555375446,0.0006146121069108531,0.29330162332512033,3.338661960210048e-95,0.053789358967330086,not normal,-0.006095383785739705,0.31112996343164956,-3.8133155637386165,61.88751291554193,58.88751291554193,-0.020091390683122757,-0.005133124557915874
3,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.43,5.37,-0.37,-0.02,19373000.0,56246767000.0,1.3818851527246916,0.00034651236346619127,0.45114262829930074,4.4124305219054357e-163,0.04337218384839703,not normal,0.001140261524800401,0.2568126105711979,0.3508531507667474,18.471650278701176,15.471650278701176,0.003833969289199557,0.0007125133807739081
4,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.3,6.32,1.94,0.12,25936000.0,55654195000.0,0.7498796243352679,0.00019531614025438548,0.16385778809078755,5.688577016117185e-50,0.048201949658542194,not normal,-0.010632638688298446,0.2342007253763086,0.3647200596698262,10.42639393278016,7.42639393278016,-0.04606428324999986,-0.01438669381189415
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.8,8.76,-0.23,-0.02,6141000.0,50396958000.0,0.8474159341732702,-5.72872297399498e-05,0.2839295375923696,1.1580144453166638e-91,0.03829444144175005,not normal,-0.0019717454005796498,0.24061266353932906,6.773295780332628,133.78480882596966,130.78480882596966,-0.008841576466000018,-0.002510449919078258
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.9,20.7,0.0,0.0,1593000.0,44871768000.0,0.7830371852548305,0.00020050465492548958,0.1555787841426496,2.56109102000891e-47,0.05191027018581503,not normal,-3.3306690738754696e-16,0.24733589369571993,-6.1920262367763215,155.33186487235744,152.33186487235744,-0.0006293055992232208,-0.0001987771024449387
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.64,4.72,2.16,0.1,13536000.0,38890996000.0,1.3685573876560029,0.001279374487422495,0.24203010237967867,2.228822677774112e-76,0.06891612045702825,not normal,0.0013387335164039005,0.4478021322851677,-8.99426648460648,203.36347846602274,200.36347846602274,0.0026419786068799483,0.0008644750043247837
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.02,16.5,-2.02,-0.34,2517000.0,32649077000.0,0.6175149682357592,0.00017274917171289055,0.12434620897396566,1.5723205724832628e-37,0.04662984285434324,not normal,-0.004147375495437866,0.22185371319129063,1.2731188844853474,15.489616053942068,12.489616053942068,-0.01939577794904383,-0.006968293206758819
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.02,7.13,0.42,0.03,2240000.0,31826845000.0,0.7069074626109114,0.0003110827205892899,0.1338301381830988,1.8213488272368143e-40,0.05117450595867292,not normal,0.0005306644244404968,0.25233210315970206,-0.3661189337216979,23.75587316564809,20.75587316564809,0.0014861944118615999,0.0005305002160596027
10,NESTLE,4707,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,130.7,128.7,-1.53,-2.0,250000.0,30180150000.0,0.32195068335220933,3.871101751921297e-05,0.033249505193470176,1.0401619558967765e-10,0.04939926424971193,not normal,-0.002199434792511834,0.21997670936838307,-12.580710951024331,316.28357373730415,313.28357373730415,-0.010706063664945384,-0.007315047853856141
11,SIMEPLT,5285,PLANTATION,PLANTATION,MAIN,4.33,4.34,0.23,0.01,5491000.0,30014201000.0,1.2310347093760665,0.00039542627374464354,0.2329972399054086,3.41426637975414e-73,0.06355648852334689,not normal,2.220446049250313e-16,0.31774217277573436,0.6618238550559342,11.980690259356088,8.980690259356088,-0.0004898621465048645,-0.00012643824061624534
12,MAXIS,6012,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.76,3.78,0.8,0.03,3619000.0,29597962000.0,0.9377254923256666,2.8435957329997523e-05,0.2463673806397027,6.386557030262363e-78,0.04666921378200849,not normal,0.00037493804700350353,0.26570753680223264,3.776174949491976,62.31631284565631,59.31631284565631,0.0008252990745063357,0.00023385114941088027
13,DIGI,6947,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.53,3.46,-1.98,-0.07,5130000.0,26901500000.0,0.9426285062123745,0.00010706471793056063,0.216284994343543,2.137507424424746e-67,0.05105907899801139,not normal,-0.006613689177212945,0.26013387736669735,1.9145642608719413,22.53253802288035,19.53253802288035,-0.0260225200520954,-0.007181343440592993
14,AXIATA,6888,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,2.89,2.8,-3.45,-0.1,7751000.0,25695680000.0,1.318122288217729,3.5544787797621555e-05,0.25380926604748644,1.3725313049599323e-80,0.06431220708315749,not normal,0.0017585195440681378,0.4382785553739099,10.460711877979321,250.30786751001256,247.30786751001256,0.0036571939503392175,0.0012160250195330216
15,IOICORP,1961,PLANTATION,PLANTATION,MAIN,4.06,3.88,-4.9,-0.2,12090000.0,24386572000.0,0.8033801022577142,0.00010965190708997919,0.22365673650871407,6.140900482045922e-70,0.042591554872467005,not normal,-0.0026455379386899347,0.21305262051825796,0.0921148271260903,7.297834636621237,4.297834636621237,-0.013147868327867594,-0.003486752775689996
16,PPB,4065,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,16.62,17.04,3.52,0.58,1774000.0,24241086000.0,0.5627291914825734,0.0003211271826465402,0.16127967434267157,3.837275639727894e-49,0.03651612885614481,not normal,0.0040729776422097075,0.2093575681829879,-5.8814535751536825,121.16007450836541,118.16007450836541,0.018711183041611013,0.006961301881457054
17,RHBBANK,1066,FINANCIAL SERVICES,BANKING,MAIN,5.73,5.68,-0.18,-0.01,6235000.0,23924598000.0,0.9911069244596821,0.0005220238175337442,0.3064603525812298,2.9755291826641805e-100,0.042426336265663604,not normal,-0.0020284190024614235,0.26436306671963905,-4.48844265752418,117.69074107502463,114.69074107502463,-0.008261626301865093,-0.0022036662355510903
18,KLK,2445,PLANTATION,PLANTATION,MAIN,22.14,21.9,-0.82,-0.18,2682000.0,23674289000.0,0.7003003324835679,0.0001288028001903587,0.1840367885161656,1.5087097515556742e-56,0.04195983966108581,not normal,0.0015561259095708824,0.20339302365116566,0.5565084445608828,12.666298964781989,9.666298964781989,0.0068855657959121614,0.0019998220503664845
19,TM,4863,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,5.8,5.76,-0.69,-0.04,5535000.0,21816969000.0,0.8834491312121941,0.0002728341018824632,0.11158647594614912,1.2569648712524413e-33,0.07093325162415513,not normal,-0.009128731681770419,0.3295003870935387,1.4425812171344108,32.30405664104034,29.30405664104034,-0.028177149127069246,-0.010509242939457576
20,HLFG,1082,FINANCIAL SERVICES,BANKING,MAIN,19.08,18.82,-0.74,-0.14,794000.0,21596268000.0,0.9698671457025423,0.00041171800237037597,0.26185045121312917,1.6793812953792158e-83,0.04633661293817502,not normal,0.0060610494468824605,0.24903371421655637,-0.5086183133501567,21.249205524292943,18.249205524292943,0.023713253455136366,0.006088874760071913
21,PETDAG,5681,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,20.96,21.26,1.24,0.26,450000.0,21120832000.0,0.8428753080993275,0.00023946084845674102,0.14195688657533148,5.244680777933935e-43,0.058966611894262694,not normal,4.440892098500626e-16,0.2787189629064588,0.8180088861366271,9.180625147619928,6.180625147619928,-0.0005584473376612576,-0.00018466534883054893
22,MRDIY,5296,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,2.13,2.11,-0.94,-0.02,13156000.0,19890572000.0,,,,,,,,,,,,,
23,GENTING,3182,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,4.52,4.47,-0.67,-0.03,8028000.0,17329726000.0,1.3558847475956965,-8.216758174429045e-05,0.29716067582350153,1.1279995944690348e-96,0.059336462906304246,not normal,-0.0017301096203092836,0.4922017612489201,16.73064931641766,453.9776594503999,450.9776594503999,-0.003831273334568312,-0.0013907962947768554
24,GENM,4715,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,2.89,2.88,0.0,0.0,6858000.0,17101569000.0,1.1272939032453715,2.6117735808239948e-05,0.19240076192047684,2.546375527175221e-59,0.06572010307537388,not normal,8.881784197001252e-16,0.40280284806623523,6.991352175779561,177.74041997990284,174.74041997990284,-0.00038641698671599314,-0.00013807389744792688
