,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,SKEWNESS_5Y,PEARSON_KURTOSIS_5Y,FISHER_KURTOSIS_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_return_of_equity_5Y,SHARPE_RATIO_5Y,TREYNOR_RATIO_5Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.92,8.92,0.11,0.01,2709000.0,106772520000.0,0.4859725329711913,0.000247060990506141,0.0775610986309103,9.211963876012159e-23,0.04848133832417388,12.374043546028433,289.32410587067,286.32410587067,not normal,0.9343418487083516,0.060931149222074765,0.0644053568912168,0.12382720450587273
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.65,4.64,-0.43,-0.02,5189000.0,90065610000.0,0.7811009023070282,0.0006595399937583327,0.09805367928674111,1.2151241731783645e-28,0.06853013467431773,12.96258116492694,279.62229332305515,276.62229332305515,not normal,1.3278890092921944,0.08004330094606904,0.05971039099925852,0.10150900058401012
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.76,8.75,-0.34,-0.03,2098000.0,70000000000.0,0.9383322357605924,0.0010346546858726877,0.09946405653551217,4.736804134837408e-29,0.08167518482403816,9.821901942052357,259.1143425578758,256.1143425578758,not normal,1.5151511147255963,0.10113494842343473,0.06625109432995414,0.1069774815361154
3,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.48,6.52,0.46,0.03,1257000.0,57415403000.0,0.5064429195267841,3.5075152401956315e-05,0.08388147506748482,1.4573906937112601e-24,0.04841604992431464,5.4047864486929775,85.39639534391603,82.39639534391603,not normal,0.9059348408483746,0.04504070150517192,0.0488845008611055,0.08744553591338282
4,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.44,5.44,0.18,0.01,4518000.0,56979965000.0,0.680787910328986,0.00048110441629410216,0.05296448492868946,7.477476299172049e-16,0.08327576644793605,15.083375908885122,402.6979758765703,399.6979758765703,not normal,1.6396557997027987,0.10877439212379647,0.06587959689208057,0.15866889157003763
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.72,8.85,1.49,0.13,1871000.0,50914735000.0,0.9486389082124059,-0.00012087470011816926,0.3054611218529868,1.0803426673338007e-96,0.04137969544429779,0.5334561327103641,36.146521305402736,33.146521305402736,not normal,0.7340291593935385,-0.03195240949073641,-0.044558091555072905,-0.03447775355322787
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.78,20.84,0.19,0.04,284000.0,45175249000.0,0.5279003107806853,0.0005409422698044009,0.050902469339230955,2.795790494859373e-15,0.06594076196984348,13.839305909155028,347.07057318830664,344.07057318830664,not normal,1.2360200239624657,0.08707467876103814,0.06983717746472799,0.16351600482251946
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.85,4.83,0.42,0.02,1243000.0,39797354000.0,0.6756327805559452,0.0018431231550567419,0.01970432495469924,1.0845907597371764e-06,0.13785563490040417,17.166335645373227,467.529881888861,464.529881888861,not normal,2.6628583488904263,0.16093530600196404,0.060153698025692925,0.2370826011025472
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.12,17.3,0.0,0.0,205000.0,34232062000.0,0.45352563022737735,-5.748278455837614e-05,0.0866968552374251,2.279588380450062e-25,0.04258176777152126,2.9316714394559145,36.395869330062666,33.395869330062666,not normal,0.5901811043338624,0.029408029280826753,0.04855035187131904,0.06317945089199721
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.26,7.24,-0.14,-0.01,629000.0,32317862000.0,0.579555977736971,2.8494048035312167e-05,0.12455167255917929,1.9756532341972736e-36,0.04444796823895001,-0.03296409908772773,29.972259542777152,26.972259542777152,not normal,0.6532855351817168,0.001975146316326004,0.0018684285093996458,0.0021061249742917796
10,SIMEPLT,5285,PLANTATION,PLANTATION,MAIN,4.51,4.66,2.19,0.1,1458000.0,32227230000.0,1.0877478378388954,0.000353878354135146,0.20827687086905483,1.2590484687840977e-62,0.06134941419623327,2.8886792056855004,49.02839095310378,46.02839095310378,not normal,1.1384494643578331,-0.016031356370987182,-0.014744515144613555,-0.015431780036401591
11,NESTLE,4707,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,135.2,135.9,0.15,0.2,26000.0,31868550000.0,0.1999091740265679,-4.516190425578022e-05,0.02957832880429494,2.1153739898171754e-09,0.03312395600752727,7.015810842614007,142.8009802562226,139.8009802562226,not normal,0.1915762970591175,-0.00017213769438240156,-0.004837063385302439,-0.004635438551075833
12,MAXIS,6012,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.84,3.9,1.83,0.07,1029000.0,30537580000.0,0.945954891957468,-0.0001953111134537222,0.30411690418816767,3.437558462333917e-96,0.04139370858196278,-3.3583762664517938,74.31723906504763,71.31723906504763,not normal,0.8776280332008211,-0.05028896142420647,-0.05816073380844325,-0.05395975099425308
13,DIGI,6947,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.69,3.79,3.84,0.14,1628000.0,29467250000.0,0.9001481528185685,8.815937181314633e-05,0.20694920273199663,3.4372021238014207e-62,0.050973994316500806,3.758331152987652,59.654053821292614,56.654053821292614,not normal,0.9498847401727167,-0.010698879662762617,-0.012057682554510911,-0.01272391508499292
14,AXIATA,6888,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,2.94,3.1,6.53,0.19,1765000.0,28448093000.0,1.2745235766870562,0.0002694397435940852,0.2517740831880349,2.489742810774019e-77,0.06355866738952198,-0.25735296403029384,22.268857302661967,19.268857302661967,not normal,1.0444038662287307,-0.003358530780361191,-0.003938188962117921,-0.003227135106175585
15,IOICORP,1961,PLANTATION,PLANTATION,MAIN,4.2,4.25,2.16,0.09,1514000.0,26712096000.0,0.8304066495307191,8.93570414254002e-05,0.2913705265193114,1.8011232646613912e-91,0.037462233111462746,2.4096374684203266,39.235514975173224,36.235514975173224,not normal,0.7041898956794421,-0.0060563467926452175,-0.009671930585836905,-0.008201856035363242
16,RHBBANK,1066,FINANCIAL SERVICES,BANKING,MAIN,5.9,5.93,0.17,0.01,852000.0,24977618000.0,0.7170122592627011,0.0006208547500775867,0.1230307879994971,5.6073372668234595e-36,0.05537680549047807,7.166212749194751,136.12919336171322,133.12919336171322,not normal,1.0227345185038288,0.06172438207042741,0.059614545094270305,0.08503320868670812
17,KLK,2445,PLANTATION,PLANTATION,MAIN,22.3,22.46,0.63,0.14,774000.0,24279659000.0,0.8631192658256203,0.00017044077678282068,0.28488645938258356,4.2071373787038285e-89,0.039558376071474846,2.073962535575354,37.66700029767855,34.66700029767855,not normal,0.8261545422355197,0.008282568001801494,0.009112143817326281,0.008721898933615435
18,PPB,4065,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,16.76,16.9,0.96,0.16,167000.0,24041922000.0,0.5663899980714842,-3.614813249903611e-05,0.20092770659680634,3.2017873872964466e-60,0.03267418363110131,-1.2200025576043576,37.9603844108186,34.9603844108186,not normal,0.6030580939811307,-0.023911798835257958,-0.04090207573541634,-0.04355007665541244
19,PETDAG,5681,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,22.38,23.1,3.77,0.84,127000.0,22948787000.0,0.5452057552610914,3.456272569988411e-05,0.08159574650707085,6.547666816774925e-24,0.052912668220973236,1.6206354873023814,31.051579762535685,28.051579762535685,not normal,0.8545256509129044,0.026101557785662033,0.02966210407021637,0.0464907579266283
20,HLFG,1082,FINANCIAL SERVICES,BANKING,MAIN,19.54,19.64,-0.2,-0.04,88000.0,22537232000.0,0.7019399767127625,0.0006862790670738917,0.06769763331232773,5.664973620260107e-20,0.07535423662432371,13.907794453894748,357.319551309188,354.319551309188,not normal,1.4456444112057802,0.10273060189535066,0.07054021867845121,0.14527748280600594
21,TM,4863,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,5.59,5.78,3.21,0.18,1846000.0,21892722000.0,0.5356884994565576,0.00039136294106154664,0.02600468166354649,2.02164985633584e-08,0.09483770457951292,8.432883388878164,173.88358497358973,170.88358497358973,not normal,1.47511464615131,0.09846572175126433,0.06623972788053216,0.18240300632321915
22,MRDIY,5296,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,2.1,2.13,1.91,0.04,3292000.0,20078831000.0,,,,,,,,,,,,,
23,GENTING,3182,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,4.73,4.75,0.64,0.03,615000.0,18415256000.0,1.0596492547220626,0.00019212017687115243,0.15456146813736088,1.578227269808071e-45,0.07169165165549975,3.480714295454746,72.1505056962058,69.1505056962058,not normal,1.3183725730893405,0.05710686879439275,0.04274386538907459,0.05318018159844734
24,HAPSENG,3034,INDUSTRIAL PRODUCTS & SERVICES,DIVERSIFIED INDUSTRIALS,MAIN,7.27,7.33,1.24,0.09,238000.0,18249366000.0,0.9592794928207654,-7.924533218052834e-05,0.27286532007693937,9.101383546759436e-85,0.045299610279389,0.19976468334326744,83.52406006376134,80.52406006376134,not normal,0.8555178507906664,-0.04056261139182249,-0.04829488987430411,-0.04307101392102456
25,GENM,4715,CONSUMER PRODUCTS & SERVICES,"TRAVEL, LEISURE & HOSPITALITY",MAIN,2.96,3.0,1.01,0.03,4273000.0,17814134000.0,0.7405611514670877,9.663733004647138e-05,0.059709996182962626,9.85238958245682e-18,0.08501280798451433,3.7584737144718297,119.21280303661604,116.21280303661604,not normal,1.338294965707077,0.0732404029110807,0.05416285331027103,0.09787966026825545
26,SIME,4197,CONSUMER PRODUCTS & SERVICES,AUTOMOTIVE,MAIN,2.34,2.32,-0.43,-0.01,2136000.0,15799011000.0,0.835047931169622,8.298725903299836e-05,0.10937913482974569,6.057304144375695e-32,0.06892974034642585,-0.9370404183722687,80.53264428315113,77.53264428315113,not normal,0.7262691134793696,0.024938788232270248,0.03329930845991173,0.028961522245534024
27,DIALOG,7277,ENERGY,"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",MAIN,2.32,2.37,1.72,0.04,1233000.0,13380794000.0,1.1801958211668446,0.0003643304327311292,0.22105324148587538,7.33740963191765e-67,0.0640878294898543,-3.843208569550582,122.48567315549283,119.48567315549283,not normal,1.3118196622315716,-0.09008984710835255,-0.06925065900554411,-0.07697398556804746
28,AMBANK,1015,FINANCIAL SERVICES,BANKING,MAIN,4.0,4.02,1.01,0.04,963000.0,13323023000.0,0.6580903269857615,0.00025863241848365047,0.07084905933354951,7.326734264271112e-21,0.06894101067855431,8.099202375346744,173.4003681352363,170.4003681352363,not normal,1.257785540049031,0.0702017176339873,0.05521385516458238,0.10552835346245074
29,KLCC,5235SS,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,MAIN,7.05,7.06,0.0,0.0,4000.0,12745652000.0,0.30041063308015414,-0.0003707321166839307,0.05930543297029454,1.2782088520231648e-17,0.034610543986794196,-0.48405528973884365,40.10067654207473,37.10067654207473,not normal,0.41023035978134975,-0.005043299694886261,-0.014133104862327953,-0.01929967868665085
30,QL,7084,CONSUMER PRODUCTS & SERVICES,AGRICULTURAL PRODUCTS,MAIN,5.02,5.03,0.2,0.01,354000.0,12241295000.0,0.4874951763245788,0.00019614969006676573,0.06000219892774963,8.16315203337655e-18,0.055816963373800106,-0.3772040399652957,70.24868427352634,67.24868427352634,not normal,0.7851623652556612,-0.051313881404444706,-0.06631546888407533,-0.10680805253217758
31,WPRTS,5246,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,3.46,3.47,0.29,0.01,792000.0,11832700000.0,0.3653242860251696,-0.00025945061008061595,0.035274354361201056,5.771760146200598e-11,0.05526713690224131,0.9591970661029448,34.31330760210721,31.31330760210721,not normal,0.6557758428414531,-0.005681877951912551,-0.009814949757279728,-0.017618338543972913
32,INARI,0166,TECHNOLOGY,SEMICONDUCTORS,MAIN,2.91,2.93,0.34,0.01,1456000.0,10868370000.0,0.4083416124934959,0.0008611788563087571,0.012110148561033924,0.00013620760635528728,0.10668889408060617,3.642182118114605,67.94340322718587,64.94340322718587,not normal,1.5257735888645212,0.0893442473948538,0.0580621653460184,0.2169500136326439
33,AIRPORT,5014,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,6.22,6.22,0.0,0.0,289000.0,10320173000.0,0.8828685860614663,0.00019212505443790787,0.12214364956861792,1.0296144333862581e-35,0.06846811839547487,0.9222438746656311,28.349770413536362,25.349770413536362,not normal,1.1467815268742143,0.03361763853502864,0.02865681803140798,0.037223104385239264
34,GAMUDA,5398,CONSTRUCTION,CONSTRUCTION,MAIN,3.81,3.82,0.26,0.01,493000.0,9756016000.0,1.0877230396241855,0.0004229492974658521,0.13778433767045628,2.0981116781168232e-40,0.07871226367089895,-0.8553456869057503,52.164507334604295,49.164507334604295,not normal,0.9047515862014988,0.02782715249499068,0.029922714599526782,0.024889261798417314
35,BKAWAN,1899,PLANTATION,PLANTATION,MAIN,23.0,23.5,0.09,0.02,5000.0,9389083000.0,0.10322121101457446,0.0002897539456146747,0.001311766174281226,0.21050737206481704,0.08238947776782864,21.137168519495848,655.7484197743325,652.7484197743325,not normal,1.6701918392138126,0.11883406729765622,0.07069818899104678,1.1439464538288524
36,F&N,3689,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,23.04,23.0,-0.17,-0.04,36000.0,8435906000.0,0.5921586503239956,-0.00033287051287682226,0.10155405312568055,1.1697857287756355e-29,0.05095085444788452,-5.343551858850444,99.75821947664618,96.75821947664618,not normal,0.9664043946544421,-0.061223399133727874,-0.06413249823176088,-0.10466439711288714
37,TIMECOM,5031,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,4.4,4.52,2.73,0.12,120000.0,8301369000.0,0.03391758077832256,-8.033471090297369e-05,0.00035857897061461724,0.5127753677588236,0.05180487485099847,8.218070957357954,168.76302433527698,165.76302433527698,not normal,0.9030022776230311,0.053576406040540814,0.05849584032276146,1.5573598066488958
38,SUNWAY,5211,INDUSTRIAL PRODUCTS & SERVICES,DIVERSIFIED INDUSTRIALS,MAIN,1.62,1.62,0.0,0.0,177000.0,7993209000.0,0.41436192386272147,-1.703486666071902e-05,0.04397174173370192,2.3188889363374543e-13,0.05589132669274041,2.1684562933661535,71.57180246677049,68.57180246677049,not normal,0.8791356372039444,0.049900566761960974,0.055902679500803645,0.1186065488503452
39,HEIM,3255,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,24.6,25.0,1.21,0.3,80000.0,7552450000.0,0.490983486703179,0.0005176212149345136,0.0432357448149097,3.7026108935942715e-13,0.06681345519100451,2.5430231420651674,46.97110454480146,43.97110454480146,not normal,1.0911747258756386,0.04319361854734516,0.038893028351325534,0.08643689797939653
40,CARLSBG,2836,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,24.0,24.0,0.0,0.0,57000.0,7337952000.0,0.8891241147108361,0.000838513228697827,0.11433915614021871,2.1066841576950068e-33,0.07158378656518977,0.8681281584806382,38.65442853564316,35.65442853564316,not normal,0.9479769434147984,0.01027443990932908,0.010042344360636472,0.010707066374879618
