,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.95,8.97,0.34,0.03,9175000.0,107371020000.0,0.7721455552028381,-0.008732749472992789,0.36226809138805655,6.169315199561596e-116,0.030015131143899875,normal,0.5338303468922663,0.03015460644314505
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.65,4.65,0.0,0.0,13425000.0,90259717000.0,1.1828934057424003,0.0077768971680694035,0.40336800426924835,8.210012431625187e-133,0.042148798076335335,normal,0.7800414623456451,0.0370255533508832
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.76,8.8,0.23,0.02,4166000.0,70400000000.0,1.4153339142475236,0.017256113533323902,0.39495913076551586,2.8802748263314957e-129,0.05132302277680375,normal,0.8346147971649158,0.0514413846096069
3,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.48,6.49,0.15,0.01,3231000.0,57151222000.0,0.706144123658807,-0.011504171052796518,0.20474127744532886,5.72551468950771e-60,0.040773867096326404,normal,0.7369670459123137,0.02238916806508051
4,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.37,5.43,1.12,0.06,14378000.0,56875222000.0,1.1893212617305096,0.007647983975331035,0.3695796833438566,7.392465655425692e-119,0.04550899827668791,normal,0.80676894129662,0.04734393468458897
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.53,8.63,0.58,0.05,3047000.0,49649058000.0,0.8797775960263167,-0.004849597312005162,0.278315668991099,1.3575121365944885e-84,0.04150636920657008,normal,0.6570959946801153,-0.01708579119370013
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.88,20.88,0.48,0.1,1035000.0,45261958000.0,0.9214802286432511,-0.002594466259725245,0.31699435979070845,1.4774368353437378e-98,0.03962866445935908,normal,0.6001201179443606,0.04427348494229655
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.89,4.84,-1.02,-0.05,5121000.0,39879750000.0,1.5136898069796652,0.021923456108944632,0.2509641807469935,3.677315323429053e-75,0.0766159774651233,normal,1.1334445198618495,0.07584631478632087
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.28,17.24,-0.23,-0.04,1038000.0,34113338000.0,0.5783834371790185,-0.016627722460512848,0.14823252180721497,1.559959641160907e-42,0.04062016316847032,normal,0.5182407181698878,0.01633000842514587
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.28,7.2,-0.69,-0.05,1412000.0,32139310000.0,0.6126967887650603,-0.015170858913813014,0.13370842839195057,3.1085494514070085e-38,0.04569148718815976,normal,0.6618239518726773,0.0003203091670167524
10,SIMEPLT,5285,PLANTATION,PLANTATION,MAIN,4.55,4.64,1.98,0.09,2786000.0,32088916000.0,,,,,,,1.1387553784653885,-0.0038404349312437525
11,NESTLE,4707,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,135.8,135.8,0.0,0.0,43000.0,31845100000.0,0.20371112836675057,-0.03127642950143576,0.0294764390375334,3.576834333751324e-09,0.03424658925159064,normal,0.19303152409043445,0.0009004829717982332
12,MAXIS,6012,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.79,3.79,0.0,0.0,1133000.0,29676264000.0,0.8148802251920819,-0.007451767017025476,0.27898568538669194,7.893154850876367e-85,0.03838060351271816,normal,0.7182539578196135,-0.026763725266031546
13,DIGI,6947,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.65,3.68,0.55,0.02,1589000.0,28612000000.0,0.9079615844794329,-0.003515441844397574,0.20331768538805262,1.6284161767834383e-59,0.05265741327266524,normal,0.9578431262976579,-0.005520098995332567
14,AXIATA,6888,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,2.92,2.9,-0.34,-0.01,2184000.0,26612732000.0,1.340947460358751,0.013632646535942226,0.26770038335154217,6.840332822288981e-81,0.06497835406708227,normal,1.0583825053954379,-0.005284243315526904
15,IOICORP,1961,PLANTATION,PLANTATION,MAIN,4.12,4.13,0.49,0.02,3155000.0,25957872000.0,0.8513025466374506,-0.005761534635816523,0.29355077541902236,5.291834378481183e-90,0.038691879834877534,normal,0.7110189725022631,-0.004138242192369468
16,RHBBANK,1066,FINANCIAL SERVICES,BANKING,MAIN,5.92,5.95,0.68,0.04,3756000.0,25061859000.0,0.9990961689854749,0.0005509338299082775,0.334844545243222,2.8725333441158974e-105,0.04125573181315098,normal,0.724280831178899,0.03215402222197117
17,KLK,2445,PLANTATION,PLANTATION,MAIN,22.4,22.4,-0.27,-0.06,1029000.0,24214798000.0,0.927571483487633,-0.0026881666017097017,0.31492962933705826,8.600355504032868e-98,0.040081619158574174,normal,0.8352647200031644,0.006029180180020077
18,PPB,4065,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,16.54,16.68,0.85,0.14,419000.0,23728950000.0,0.5042207879390409,-0.01947936243781945,0.17124488374972713,1.711460726567237e-49,0.03249840845530263,normal,0.5478506933686552,-0.011934780160153924
19,HLFG,1082,FINANCIAL SERVICES,BANKING,MAIN,19.72,19.7,0.0,0.0,229000.0,22606083000.0,1.174712425234804,0.007439483822756714,0.3896559942243737,4.6775183314395995e-127,0.04307400566342019,normal,0.7122595939319891,0.05305191543780907
