,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.95,8.97,0.34,0.03,9175000.0,107371020000.0,0.5866946903303522,-0.016518989414385017,0.38336735283475004,6.1559431773677984e-120,0.02221372665771977,normal,0.5249180885318634,0.021306258162079317
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.65,4.65,0.0,0.0,13425000.0,90259717000.0,0.6062434966200709,-0.01564830455702699,0.16398903234461454,1.3440315889346446e-45,0.0408647880028081,normal,0.7943939769895318,0.03697230221457293
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.76,8.8,0.23,0.02,4166000.0,70400000000.0,0.2831982169022902,-0.028610741360842316,0.020468845189394614,1.4645161672101258e-06,0.05848662249128016,normal,0.8769151123758785,0.04549129356830228
3,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.48,6.49,0.15,0.01,3231000.0,57151222000.0,0.09682523913809009,-0.03622404227096211,0.005096986079582463,0.016669041081854838,0.040385531171752975,normal,0.755342817630637,0.023689609176636317
4,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.37,5.43,1.12,0.06,14378000.0,56875222000.0,1.1487345869581922,0.006020010263333153,0.46448736027431564,2.413969877607271e-154,0.036823170739786026,normal,0.865110749788284,0.06183890338229148
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.53,8.63,0.58,0.05,3047000.0,49649058000.0,1.3801714695003282,0.015460918553783447,0.5288905017584618,1.3683088323535836e-185,0.03888791541344763,normal,0.680527687866674,-0.014154668459816389
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.88,20.88,0.48,0.1,1035000.0,45261958000.0,-0.08994096652895911,-0.04349317523921132,0.0029862767173053626,0.0670370033596558,0.04906216015021262,normal,0.6072333591745318,0.05068159128972649
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.89,4.84,-1.02,-0.05,5121000.0,39879750000.0,-0.6317943264056577,-0.0649528562166576,0.034438808165123375,3.6271229224099037e-10,0.09987231977626138,normal,1.163816240131013,0.08095084972957078
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.28,17.24,-0.23,-0.04,1038000.0,34113338000.0,0.17295261899379782,-0.033023644061179094,0.01988455455402225,2.0739958724584166e-06,0.03625028269472909,normal,0.5641213913416637,0.022671499657432648
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.28,7.2,-0.69,-0.05,1412000.0,32139310000.0,-0.1749512692573571,-0.04706866323694476,0.012256004444603761,0.00020011096805444076,0.04688872390483309,normal,0.6619951177966564,0.0034970803038243403
