SUBSECTOR,SECTOR,BETA_5Y,INTERCEPT_5Y,annualized_excess_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y
AGRICULTURAL PRODUCTS,CONSUMER PRODUCTS & SERVICES,1.278590124328794,0.011570137615570514,-0.008254176440597253,1.4179701753916147
AUTO PARTS,INDUSTRIAL PRODUCTS & SERVICES,1.3342687288509505,0.01440973399970171,0.013291165267063754,2.292789138941947
AUTOMOTIVE,CONSUMER PRODUCTS & SERVICES,1.7479825037270784,0.030603873307234172,0.0017743389508665386,1.0409308582916843
BANKING,FINANCIAL SERVICES,0.6615465375034943,-0.013440376630162823,0.041596686485158595,0.7913171925721552
BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,2.7819304521229085,0.07268915026006577,0.014285966669542405,1.9599734317874824
CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,7.178097318090975,0.2510586288847623,0.02029830572494737,1.840868944377968
CONSTRUCTION,CONSTRUCTION,4.716982114501268,0.15033761548432473,-0.026002799907909074,1.5815106890224482
CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,1.0521462361767726,0.0028999623203756057,-0.0026443986764965732,1.8601412705808322
DIGITAL SERVICES,TECHNOLOGY,1.698920887069837,0.030935184225270175,-0.01176409850254343,5.588901221862442
DIVERSIFIED INDUSTRIALS,INDUSTRIAL PRODUCTS & SERVICES,0.5712203324778345,-0.016719817162896073,0.047012895508038666,1.4599115574493413
ELECTRICITY,UTILITIES,0.37040331923294023,-0.024900796793265588,0.0016341575223015603,0.9546159478969589
"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",ENERGY,19.43516166029581,0.7473007405136353,-0.06175300967683092,5.4062172961762895
FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,4.207274331479587,0.13025479452823924,-0.015550245261362937,1.4666228488236974
"GAS, WATER & MULTI-UTILITIES",UTILITIES,1.0055372581832267,0.0005104371667471711,-0.003153713752798579,0.8773018477613523
HEALTH CARE EQUIPMENT & SERVICES,HEALTH CARE,1.4487964799754462,0.01937481405937382,-0.19719605961387815,2.277091909751855
HEALTH CARE PROVIDERS,HEALTH CARE,0.5036637056081189,-0.019448523766943192,0.002813691757417599,1.0181806338321036
HOUSEHOLD GOODS,CONSUMER PRODUCTS & SERVICES,2.622211138393214,0.06628756505460638,0.03228082399551192,1.7128497552409927
INDUSTRIAL ENGINEERING,INDUSTRIAL PRODUCTS & SERVICES,6.747241594283171,0.2331256569521432,-0.002287184149216248,2.3197812496923857
"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,5.136720571560669,0.16813418280105744,-0.013669807609123685,2.0406022810864917
INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,3.071447495217689,0.08447606287604272,-0.007976023024113942,2.014981042730493
INSURANCE,FINANCIAL SERVICES,0.8466545362141056,-0.006025503906724426,0.009707466538544917,0.8513350953885209
MEDIA,TELECOMMUNICATIONS & MEDIA,9.410657685349147,0.3408308343957731,0.02442062223616488,2.381339898073448
METALS,INDUSTRIAL PRODUCTS & SERVICES,1.6329123296706747,0.026088562201350463,0.056292657378106216,1.9763912291640235
OIL & GAS PRODUCERS,ENERGY,6.483842599021294,0.22181762738199662,-0.02300834191775436,1.9731557749151105
OTHER ENERGY RESOURCES,ENERGY,3.5753726978380174,0.10580980445569887,-0.10119102146906656,2.529005405172896
OTHER FINANCIALS,FINANCIAL SERVICES,2.510983255504792,0.06151160423433155,-0.013828085085387857,1.403526851520993
PACKAGING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,0.7965311384866295,-0.007596702580050127,-0.005820175548304218,1.5719989306121718
PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,3.766633338641569,0.11293891392734447,-0.009513439511899773,2.237581816091713
PHARMACEUTICALS,HEALTH CARE,-0.3300761469377512,-0.052902881512711566,-0.0053327912117620635,1.1834344367676244
PLANTATION,PLANTATION,0.48188358549567945,-0.02050755192782368,0.032250247390929125,1.2958042224382913
PROPERTY,PROPERTY,3.221471210574309,0.09015625329703536,-0.009184241472734151,1.7375590013239552
REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,0.4570431512518941,-0.02162258362241632,0.00819145205458384,0.5648004206164484
RETAILERS,CONSUMER PRODUCTS & SERVICES,1.3201986356083104,0.013346450030704286,0.009403761290980988,1.2531662364327782
SEMICONDUCTORS,TECHNOLOGY,0.425489162987011,-0.02191628850860899,0.038983325134562874,2.1081491249988416
SOFTWARE,TECHNOLOGY,16.350713318432568,0.6223005071214036,-0.0684243180409454,2.9731745301771784
SPECIAL PURPOSE ACQUISITION COMPANY,SPECIAL PURPOSE ACQUISITION COMPANY,-0.20385345702235097,-0.04813434801732952,0.0,0.0
TECHNOLOGY EQUIPMENT,TECHNOLOGY,7.600253152056566,0.2678508469198072,-0.048973236780684104,2.5614876367520405
TELECOMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS & MEDIA,3.673107648505526,0.10950526121173759,-0.07960733316820334,3.8041486347011007
TELECOMMUNICATIONS SERVICE PROVIDERS,TELECOMMUNICATIONS & MEDIA,10.74726145828019,0.394273851691979,-0.0695353792149997,1.6715948641773914
TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,4.889172767240561,0.1577500222428524,0.0075847566609237305,2.0820322546027703
TRANSPORTATION EQUIPMENT,TRANSPORTATION & LOGISTICS,2.776172975036025,0.07213821134542044,-0.014609810359927367,1.828567584236692
"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,2.1839670997946206,0.04858776628921158,-0.0073762752788631945,2.2548181664902347
